                               -0,50106994 -0,49576809     -0,606516
                               -0,51557247  0,49917872     -0,606318
40 0,20 1,10 20 1,075440 4
                                0,49519284 -0,50728277     -0,606483
                               -0,50442642  0,50068609     -0,606511
                               -0,50082634 -0,49935472     -0,606530
                                0,51413881  0,49550934     -0,606369
40 0,20 1,10 20 1,099919 4
                               -0,50747127  0,49687561     -0,606485
                                0,49172551  0,49778586     -0,606453
                               -0,49591436 -0,50279856     -0,606515
                                0,49277198 -0,49069921     -0,606363
40 0,20 1,10 20 1,107397 4
                               -0,51272133  0,50487149     -0,606325
                                0,51587458  0,47801718     -0,606074
                                0,52416849 -0,49081742     -0,606058
                               -0,48724131 -0,47359521     -0,605532
40 0,20 1,10 20 1,081107 4
                                0,49030973 -0,51601806     -0,606306
                                0,52131211  0,48635859     -0,606125
                               -0,48988973 -0,49997347     -0,606437
                               -0,55732791  0,53688921     -0,601201
40 0,20 1,10 20 1,096778 4
                               -0,500589   -0,51459951     -0,606332
                               -0,50056209  0,49700139     -0,606523
                                0,51561838  0,48914676     -0,606304
                                0,47914253 -0,49287989     -0,605994
40 0,20 1,10 20 1,074068 4
                               -0,52277245 -0,47556305     -0,605853
                                0,49452903  0,46798424     -0,605455
                               -0,50648044  0,50912737     -0,606382
                                0,52529109 -0,48177901     -0,605927
40 0,20 1,10 20 1,098922 4
                               -0,49650731  0,49579961     -0,606495
                               -0,49454399 -0,49914777     -0,606500
                                0,48844082 -0,48202965     -0,605984
                                0,50188365  0,50659102     -0,606481
40 0,20 1,10 20 1,078143 4
                               -0,5115099   0,47508694     -0,606019
                                0,50165775 -0,46821466     -0,605636
                               -0,49278837 -0,50686588     -0,606470
                                0,51473122  0,48161518     -0,606190
40 0,20 1,10 20 1,101380 4
                                0,48363339 -0,51869566     -0,606155
                               -0,51879775  0,49038859     -0,606235
                               -0,51247644 -0,48695887     -0,606333
                                0,51165784  0,49931054     -0,606412
40 0,20 1,10 20 1,109643 4
                               -0,5307447   0,47630471     -0,605603
                                0,49236856 -0,48699828     -0,606262
                               -0,50726125 -0,50520871     -0,606435
                                0,51903587  0,49874096     -0,606215
40 0,20 1,10 20 1,138003 4
                                0,51632272  0,49068941     -0,606302
                                0,48692338 -0,49954181     -0,606371
                               -0,49956738 -0,53431121     -0,605477
                               -0,52508687  0,49087653     -0,606022
40 0,20 1,10 20 1,074245 4
                               -0,47553755 -0,51597829     -0,605991
                                0,51104178  0,49981574     -0,606421
                               -0,48854883  0,51405192     -0,606329
                                0,50211535 -0,48963241     -0,606442
40 0,20 1,10 20 1,099520 4
                               -0,46627518  0,50741827     -0,605595
                                0,5115496   0,50489687     -0,606354
                               -0,50130006 -0,49915175     -0,606529
                                0,48674765 -0,53505212     -0,605538
40 0,20 1,10 20 1,076936 4
                               -0,48892235  0,51704798     -0,606269
                                0,50531699 -0,49537282     -0,606500
                                0,48797202  0,49499362     -0,606339
                               -0,4942221  -0,50298329     -0,606503
40 0,20 1,10 20 1,101164 4
                               -0,52256525 -0,48147487     -0,606009
                               -0,50126762  0,51590735     -0,606288
                                0,52278894 -0,48085189     -0,605990
                                0,51683696  0,50301629     -0,606235
40 0,20 1,10 20 1,103154 4
                               -0,48831295  0,49289536     -0,606309
                                0,53124595 -0,50607806     -0,605505
                               -0,51246321 -0,49207054     -0,606392
                                0,49354941  0,47103499     -0,605608
40 0,20 1,10 20 1,123827 4
                               -0,50176919 -0,51219125     -0,606380
                                0,49653278  0,49187872     -0,606442
                                0,50346777 -0,48727467     -0,606399
                               -0,50198794  0,4995732      -0,606527
40 0,20 1,10 20 1,094852 4
                                0,51586857  0,49129464     -0,606317
                               -0,49861269 -0,50165766     -0,606528
                               -0,48692494  0,49812468     -0,606356
                                0,49809102 -0,50114978     -0,606527
40 0,20 1,10 20 1,075176 4
